EDA_Timestamp;EDA
=1535542617.76-1535542617.76;0,003843332
=1535542618.01-1535542617.76;0,006405532
=1535542619.26-1535542617.76;0,007686631
=1535542619.51-1535542617.76;0,007686631
=1535542620.76-1535542617.76;0,003843332
=1535542621.01-1535542617.76;0,003843332
=1535542622.26-1535542617.76;0,006405532
=1535542622.51-1535542617.76;0,007686631
=1535542623.76-1535542617.76;0,002562233
=1535542624.01-1535542617.76;0,003843332
=1535542625.26-1535542617.76;0,005124432
=1535542625.51-1535542617.76;0,006405532
=1535542626.76-1535542617.76;0,006405532
=1535542627.01-1535542617.76;0,001281133
=1535542627.51-1535542617.76;0,007686631
=1535542627.76-1535542617.76;0,003843332
=1535542628.01-1535542617.76;0,003843332
=1535542628.26-1535542617.76;0,003843332
=1535542628.51-1535542617.76;0,006405532
=1535542629.76-1535542617.76;0,003843332
=1535542630.01-1535542617.76;0,007686631
=1535542631.26-1535542617.76;0,003843332
=1535542631.51-1535542617.76;0,003843332
=1535542632.76-1535542617.76;0,005124432
=1535542633.01-1535542617.76;0,007686631
=1535542633.76-1535542617.76;0,003843332
=1535542634.26-1535542617.76;0,006405532
=1535542634.51-1535542617.76;0,003843332
=1535542635.76-1535542617.76;0,003843332
=1535542636.01-1535542617.76;0,003843332
=1535542637.26-1535542617.76;0,006405532
=1535542637.51-1535542617.76;0,007686631
=1535542637.76-1535542617.76;0,007686631
=1535542638.01-1535542617.76;0,001281133
=1535542638.26-1535542617.76;0,005124432
=1535542638.51-1535542617.76;0,007686631
=1535542638.76-1535542617.76;0,007686631
=1535542639.01-1535542617.76;0,003843332
=1535542640.26-1535542617.76;0,003843332
=1535542640.51-1535542617.76;0,005124432
=1535542641.76-1535542617.76;0,007686631
=1535542642.01-1535542617.76;0,007686631
=1535542643.26-1535542617.76;0,006405532
=1535542643.51-1535542617.76;0
=1535542644.01-1535542617.76;0,007686631
=1535542644.26-1535542617.76;0,007686631
=1535542644.51-1535542617.76;0,003843332
=1535542644.76-1535542617.76;0,005124432
=1535542645.01-1535542617.76;0,006405532
=1535542646.26-1535542617.76;0,005124432
=1535542646.51-1535542617.76;0,006405532
=1535542647.76-1535542617.76;0,003843332
=1535542648.01-1535542617.76;0,007686631
=1535542649.26-1535542617.76;0,005124432
=1535542649.51-1535542617.76;0,006405532
=1535542650.76-1535542617.76;0,006405532
=1535542651.01-1535542617.76;0,002562233
=1535542652.26-1535542617.76;0,003843332
=1535542662.76-1535542617.76;0,001281133
=1535542663.01-1535542617.76;0,005124432
=1535542663.26-1535542617.76;0,006405532
=1535542663.51-1535542617.76;0,002562233
=1535542663.76-1535542617.76;0,003843332
=1535542664.01-1535542617.76;0,005124432
=1535542664.26-1535542617.76;0,006405532
=1535542664.51-1535542617.76;0,002562233
=1535542665.01-1535542617.76;0,006405532
=1535542665.51-1535542617.76;0,003843332
=1535542665.76-1535542617.76;0,003843332
=1535542666.01-1535542617.76;0,006405532
=1535542666.26-1535542617.76;0,006405532
=1535542666.51-1535542617.76;0,006405532
=1535542666.76-1535542617.76;0,003843332
=1535542667.01-1535542617.76;0,003843332
=1535542667.26-1535542617.76;0,005124432
=1535542667.51-1535542617.76;0,006405532
=1535542668.76-1535542617.76;3,347668E-08
=1535542669.01-1535542617.76;0,003843332
=1535542670.26-1535542617.76;0,006405532
=1535542670.51-1535542617.76;0,002562233
=1535542671.76-1535542617.76;0,002562233
=1535542672.01-1535542617.76;0,003843332
=1535542673.26-1535542617.76;0,003843332
=1535542673.51-1535542617.76;0,005124432
=1535542673.76-1535542617.76;0,003843332
=1535542674.76-1535542617.76;0,006405532
=1535542676.26-1535542617.76;0,006405532
=1535542676.51-1535542617.76;0,002562233
=1535542677.76-1535542617.76;0,006405532
=1535542678.01-1535542617.76;0,006405532
=1535542679.26-1535542617.76;0
=1535542679.51-1535542617.76;0,002562233
=1535542680.76-1535542617.76;0,003843332
=1535542681.01-1535542617.76;0,006405532
=1535542682.26-1535542617.76;0,005124432
=1535542682.51-1535542617.76;0,003843332
=1535542683.76-1535542617.76;0,003843332
=1535542684.01-1535542617.76;0,003843332
=1535542685.26-1535542617.76;0,006405532
=1535542685.51-1535542617.76;0,006405532